# 1: VFTS Identifier
# 2: Spectral type
# 3: log(L/Lsun)	4: d+log(L/Lsun)	5: d-log(L/Lsun)	6: CI/\%
# 7: Teff/K	8: d+Teff/K	9: d-Teff/K	10: CI/\%
# 11: log(g/cgs)	12: d+log(g/cgs)	13: d-log(g/cgs)	14: CI/\%
# 15: vsini/km/s	16: d+vsini/km/s	17: d-vsini/km/s	18: CI/\%
# 19: Y	20: d+Y	21: d-Y	22: CI/\%
# 23: Reference
# 24: Mini/Msun	25: d+Mini/Msun	26: d-Mini/Msun	27: CI/\%
# 28: vini/km/s	29: d+vini/km/s	30: d-vini/km/s	31: CI/\%
# 32: Age/Myr	33: d+Age/Myr	34: d-Age/Myr	35: CI/\%
# 36: Mpresent/Msun	37: d+Mpresent/Msun	38: d-Mpresent/Msun	39: CI/\%
# 40: R/Rsun	41: d+R/Rsun	42: d-R/Rsun	43: CI/\%
034	B1.5 Ve	4.33	0.10	0.10	68.3	24000.00	1000.00	1000.00	68.3	4.00	0.10	0.10	68.3	172.00	30.00	30.00	68.3	-	-	-	-	(6)	11.2	0.8	0.6	68.3	200	94	29	68.4	12.7	1.7	1.6	68.3	11.2	0.8	0.6	68.3	6.5	0.7	0.6	68.3
035	O9.5 IIIn	4.37	0.10	0.10	68.3	32550.00	1510.00	1580.00	68.3	4.27	0.16	0.22	68.3	346.00	64.00	54.00	68.3	-	-	-	-	(1)	16.0	1.2	1.1	68.3	340	80	57	68.3	0.0	2.9	0.0	68.3	16.0	1.2	1.1	68.3	5.1	0.5	0.3	68.3
036	B1: Vn	4.01	0.10	0.10	68.3	22000.00	1000.00	1000.00	68.3	3.50	0.10	0.10	68.3	333.00	40.00	40.00	68.3	-	-	-	-	(6)	9.8	0.6	0.6	68.3	330	64	27	68.3	19.8	2.2	2.1	68.3	9.8	0.6	0.6	68.3	8.0	0.9	0.8	68.3
038	B1.5 V	4.03	0.10	0.10	68.3	23000.00	1000.00	1000.00	68.3	4.20	0.10	0.10	68.3	186.00	30.00	30.00	68.3	-	-	-	-	(6)	9.6	0.5	0.6	68.3	210	86	35	68.3	13.1	2.7	3.0	68.3	9.6	0.5	0.6	68.3	4.8	0.5	0.4	68.3
040	B1-2 Vn	3.66	0.12	0.12	68.3	18000.00	1200.00	1200.00	68.3	3.10	0.12	0.12	68.3	386.00	30.00	30.00	68.3	-	-	-	-	(6)	7.4	0.5	0.6	68.3	430	60	35	72.6	39.0	5.8	6.0	69.5	7.4	0.5	0.6	68.3	9.6	1.0	1.0	68.3
046	O9.7 II((n))	5.09	0.10	0.10	68.3	28850.00	660.00	970.00	68.3	3.30	0.10	0.10	68.3	168.00	30.00	30.00	68.3	-	-	-	-	(1)	22.8	2.1	1.9	68.3	180	49	45	68.3	6.2	0.6	0.5	68.3	23.4	0.7	3.0	68.3	15.5	1.7	1.5	68.3
048	B1 V	4.24	0.23	0.23	68.3	26000.00	3410.00	3410.00	68.3	4.30	0.36	0.36	68.3	166.00	30.00	30.00	68.3	-	-	-	-	(6)	11.6	2.0	1.6	68.3	200	81	38	68.4	6.4	3.7	5.5	68.4	11.6	2.0	1.6	68.3	4.5	1.3	0.6	68.3
051	OBpe	5.03	0.10	0.10	68.3	28250.00	1050.00	1810.00	68.3	3.44	0.10	0.10	68.3	413.00	51.00	41.00	68.3	-	-	-	-	(1)	20.2	1.9	1.5	68.3	390	63	38	68.3	7.1	1.3	0.7	68.3	20.2	1.5	1.8	68.3	13.7	1.6	1.2	68.3
052	B0.2 III-II	4.96	0.10	0.10	68.3	29000.00	1000.00	1000.00	68.3	3.50	0.10	0.10	68.3	48.00	30.00	30.00	68.3	-	-	-	-	(6)	19.8	1.6	1.5	68.3	60	36	46	68.3	7.0	0.7	0.6	68.3	19.6	1.6	1.4	68.3	12.3	1.3	1.2	68.3
053	B1 III	4.70	0.10	0.10	68.3	26000.00	1000.00	1000.00	68.3	3.80	0.10	0.10	68.3	<40.00	-	-	100.0	-	-	-	-	(6)	14.4	1.0	0.9	68.3	40	7	36	68.3	10.1	0.9	0.9	68.3	14.4	1.0	0.9	68.3	9.0	1.0	0.8	68.3
